dnaA BU_ATCC8492_00001
transcript:BU_ATCC8492_00549 BU_ATCC8492_00549
transcript:BU_ATCC8492_00550 BU_ATCC8492_00550
murQ BU_ATCC8492_00551
yfeW_3 BU_ATCC8492_00552
transcript:BU_ATCC8492_00553 BU_ATCC8492_00553
glyQS BU_ATCC8492_00554
bglB_1 BU_ATCC8492_00555
axe1-6A_1 BU_ATCC8492_00556
transcript:BU_ATCC8492_00557 BU_ATCC8492_00557
transcript:BU_ATCC8492_00558 BU_ATCC8492_00558
transcript:BU_ATCC8492_00559 BU_ATCC8492_00559
transcript:BU_ATCC8492_00560 BU_ATCC8492_00560
transcript:BU_ATCC8492_00561 BU_ATCC8492_00561
glpK BU_ATCC8492_00562
aptB BU_ATCC8492_00563
aptA BU_ATCC8492_00564
ribB BU_ATCC8492_00565
srlR BU_ATCC8492_00566
mutS_1 BU_ATCC8492_00567
xsa_2 BU_ATCC8492_00568
transcript:BU_ATCC8492_00569 BU_ATCC8492_00569
rcsC_7 BU_ATCC8492_00570
transcript:BU_ATCC8492_00571 BU_ATCC8492_00571
transcript:BU_ATCC8492_00572 BU_ATCC8492_00572
transcript:BU_ATCC8492_00573 BU_ATCC8492_00573
transcript:BU_ATCC8492_00574 BU_ATCC8492_00574
transcript:BU_ATCC8492_00575 BU_ATCC8492_00575
lacZ_4 BU_ATCC8492_00576
bgaA BU_ATCC8492_00577
lacZ_5 BU_ATCC8492_00578
transcript:BU_ATCC8492_00579 BU_ATCC8492_00579
transcript:BU_ATCC8492_00580 BU_ATCC8492_00580
transcript:BU_ATCC8492_00581 BU_ATCC8492_00581
transcript:BU_ATCC8492_00582 BU_ATCC8492_00582
gyrA_1 BU_ATCC8492_00583
transcript:BU_ATCC8492_00584 BU_ATCC8492_00584
transcript:BU_ATCC8492_00585 BU_ATCC8492_00585
contig_1.tRNA4-LeuTAG contig_1.trna4
transcript:BU_ATCC8492_00587 BU_ATCC8492_00587
susC_3 BU_ATCC8492_00588
transcript:BU_ATCC8492_00589 BU_ATCC8492_00589
transcript:BU_ATCC8492_00590 BU_ATCC8492_00590
transcript:BU_ATCC8492_00591 BU_ATCC8492_00591
transcript:BU_ATCC8492_00592 BU_ATCC8492_00592
transcript:BU_ATCC8492_00593 BU_ATCC8492_00593
transcript:BU_ATCC8492_00594 BU_ATCC8492_00594
transcript:BU_ATCC8492_00595 BU_ATCC8492_00595
transcript:BU_ATCC8492_00596 BU_ATCC8492_00596
transcript:BU_ATCC8492_00597 BU_ATCC8492_00597
transcript:BU_ATCC8492_00598 BU_ATCC8492_00598
transcript:BU_ATCC8492_00599 BU_ATCC8492_00599
transcript:BU_ATCC8492_00600 BU_ATCC8492_00600
transcript:BU_ATCC8492_00601 BU_ATCC8492_00601
prfB BU_ATCC8492_00602
transcript:BU_ATCC8492_00603 BU_ATCC8492_00603
transcript:BU_ATCC8492_00604 BU_ATCC8492_00604
transcript:BU_ATCC8492_00605 BU_ATCC8492_00605
transcript:BU_ATCC8492_00606 BU_ATCC8492_00606
transcript:BU_ATCC8492_00607 BU_ATCC8492_00607
transcript:BU_ATCC8492_00608 BU_ATCC8492_00608
transcript:BU_ATCC8492_00609 BU_ATCC8492_00609
transcript:BU_ATCC8492_00610 BU_ATCC8492_00610
transcript:BU_ATCC8492_00611 BU_ATCC8492_00611
dapE_1 BU_ATCC8492_00612
transcript:BU_ATCC8492_00613 BU_ATCC8492_00613
transcript:BU_ATCC8492_00614 BU_ATCC8492_00614
bepA_2 BU_ATCC8492_00615
dut BU_ATCC8492_00616
dgt BU_ATCC8492_00617
transcript:BU_ATCC8492_00618 BU_ATCC8492_00618
transcript:BU_ATCC8492_00619 BU_ATCC8492_00619
sigH_1 BU_ATCC8492_00620
sigH_2 BU_ATCC8492_00621
transcript:BU_ATCC8492_00622 BU_ATCC8492_00622
mraZ BU_ATCC8492_00623
rsmH BU_ATCC8492_00624
transcript:BU_ATCC8492_00625 BU_ATCC8492_00625
ftsI BU_ATCC8492_00626
murE BU_ATCC8492_00627
mraY BU_ATCC8492_00628
murD BU_ATCC8492_00629
mrdB_1 BU_ATCC8492_00630
murG BU_ATCC8492_00631
murC BU_ATCC8492_00632
transcript:BU_ATCC8492_00633 BU_ATCC8492_00633
ftsA BU_ATCC8492_00634
ftsZ BU_ATCC8492_00635
yqeY BU_ATCC8492_00636
recO BU_ATCC8492_00637
contig_1.tRNA5-GluTTC contig_1.trna5
rpsT BU_ATCC8492_00639
gyrB BU_ATCC8492_00640
transcript:BU_ATCC8492_00641 BU_ATCC8492_00641
gpmI BU_ATCC8492_00642
corA BU_ATCC8492_00643
transcript:BU_ATCC8492_00644 BU_ATCC8492_00644
transcript:BU_ATCC8492_00645 BU_ATCC8492_00645
transcript:BU_ATCC8492_00646 BU_ATCC8492_00646
transcript:BU_ATCC8492_00647 BU_ATCC8492_00647
transcript:BU_ATCC8492_00648 BU_ATCC8492_00648
transcript:BU_ATCC8492_00649 BU_ATCC8492_00649
transcript:BU_ATCC8492_00650 BU_ATCC8492_00650
bfce_2 BU_ATCC8492_00651
transcript:BU_ATCC8492_00652 BU_ATCC8492_00652
transcript:BU_ATCC8492_00653 BU_ATCC8492_00653
transcript:BU_ATCC8492_00654 BU_ATCC8492_00654
transcript:BU_ATCC8492_00655 BU_ATCC8492_00655
rnhB BU_ATCC8492_00656
transcript:BU_ATCC8492_00657 BU_ATCC8492_00657
transcript:BU_ATCC8492_00658 BU_ATCC8492_00658
transcript:BU_ATCC8492_00659 BU_ATCC8492_00659
transcript:BU_ATCC8492_00660 BU_ATCC8492_00660
ygjK_1 BU_ATCC8492_00661
lacZ_6 BU_ATCC8492_00662
transcript:BU_ATCC8492_00663 BU_ATCC8492_00663
lysO_1 BU_ATCC8492_00664
lacZ_7 BU_ATCC8492_00665
ygjK_2 BU_ATCC8492_00666
buk2 BU_ATCC8492_00667
pta_2 BU_ATCC8492_00668
ykfA BU_ATCC8492_00669
ywaD BU_ATCC8492_00670
sufE BU_ATCC8492_00671
transcript:BU_ATCC8492_00672 BU_ATCC8492_00672
transcript:BU_ATCC8492_00673 BU_ATCC8492_00673
transcript:BU_ATCC8492_00674 BU_ATCC8492_00674
transcript:BU_ATCC8492_00675 BU_ATCC8492_00675
transcript:BU_ATCC8492_00676 BU_ATCC8492_00676
transcript:BU_ATCC8492_00677 BU_ATCC8492_00677
transcript:BU_ATCC8492_00678 BU_ATCC8492_00678
transcript:BU_ATCC8492_00679 BU_ATCC8492_00679
transcript:BU_ATCC8492_00680 BU_ATCC8492_00680
transcript:BU_ATCC8492_00681 BU_ATCC8492_00681
transcript:BU_ATCC8492_00682 BU_ATCC8492_00682
ribF BU_ATCC8492_00683
transcript:BU_ATCC8492_00684 BU_ATCC8492_00684
yoaB BU_ATCC8492_00685
rcsC_8 BU_ATCC8492_00686
transcript:BU_ATCC8492_00687 BU_ATCC8492_00687
transcript:BU_ATCC8492_00688 BU_ATCC8492_00688
udk_1 BU_ATCC8492_00689
sasA_2 BU_ATCC8492_00690
pepP BU_ATCC8492_00691
rpoN BU_ATCC8492_00692
transcript:BU_ATCC8492_00693 BU_ATCC8492_00693
gcvH BU_ATCC8492_00694
purE BU_ATCC8492_00695
ispG BU_ATCC8492_00696
cpdA_3 BU_ATCC8492_00697
transcript:BU_ATCC8492_00698 BU_ATCC8492_00698
transcript:BU_ATCC8492_00699 BU_ATCC8492_00699
transcript:BU_ATCC8492_00700 BU_ATCC8492_00700
transcript:BU_ATCC8492_00701 BU_ATCC8492_00701
transcript:BU_ATCC8492_00702 BU_ATCC8492_00702
transcript:BU_ATCC8492_00703 BU_ATCC8492_00703
transcript:BU_ATCC8492_00704 BU_ATCC8492_00704
transcript:BU_ATCC8492_00705 BU_ATCC8492_00705
transcript:BU_ATCC8492_00706 BU_ATCC8492_00706
transcript:BU_ATCC8492_00707 BU_ATCC8492_00707
transcript:BU_ATCC8492_00708 BU_ATCC8492_00708
transcript:BU_ATCC8492_00709 BU_ATCC8492_00709
transcript:BU_ATCC8492_00710 BU_ATCC8492_00710
transcript:BU_ATCC8492_00711 BU_ATCC8492_00711
transcript:BU_ATCC8492_00712 BU_ATCC8492_00712
lacZ_8 BU_ATCC8492_00713
transcript:BU_ATCC8492_00714 BU_ATCC8492_00714
transcript:BU_ATCC8492_00715 BU_ATCC8492_00715
transcript:BU_ATCC8492_00716 BU_ATCC8492_00716
transcript:BU_ATCC8492_00717 BU_ATCC8492_00717
transcript:BU_ATCC8492_00718 BU_ATCC8492_00718
ydjH BU_ATCC8492_00719
contig_1.tRNA6-AsnGTT contig_1.trna6
contig_1.tRNA7-AsnGTT contig_1.trna7
transcript:BU_ATCC8492_00722 BU_ATCC8492_00722
transcript:BU_ATCC8492_00723 BU_ATCC8492_00723
suhB BU_ATCC8492_00724
transcript:BU_ATCC8492_00725 BU_ATCC8492_00725
transcript:BU_ATCC8492_00726 BU_ATCC8492_00726
transcript:BU_ATCC8492_00727 BU_ATCC8492_00727
transcript:BU_ATCC8492_00728 BU_ATCC8492_00728
transcript:BU_ATCC8492_00729 BU_ATCC8492_00729
dinG_1 BU_ATCC8492_00730
nudC_1 BU_ATCC8492_00731
cpoB BU_ATCC8492_00732
transcript:BU_ATCC8492_00733 BU_ATCC8492_00733
topA BU_ATCC8492_00734
argS BU_ATCC8492_00735
hup_1 BU_ATCC8492_00736
transcript:BU_ATCC8492_00737 BU_ATCC8492_00737
transcript:BU_ATCC8492_00738 BU_ATCC8492_00738
transcript:BU_ATCC8492_00739 BU_ATCC8492_00739
dcp_1 BU_ATCC8492_00740
secD BU_ATCC8492_00741
transcript:BU_ATCC8492_00742 BU_ATCC8492_00742
transcript:BU_ATCC8492_00743 BU_ATCC8492_00743
mdtB_1 BU_ATCC8492_00744
ttgD_1 BU_ATCC8492_00745
rhaS_5 BU_ATCC8492_00746
transcript:BU_ATCC8492_00747 BU_ATCC8492_00747
transcript:BU_ATCC8492_00748 BU_ATCC8492_00748
transcript:BU_ATCC8492_00749 BU_ATCC8492_00749
transcript:BU_ATCC8492_00750 BU_ATCC8492_00750
transcript:BU_ATCC8492_00751 BU_ATCC8492_00751
transcript:BU_ATCC8492_00752 BU_ATCC8492_00752
transcript:BU_ATCC8492_00753 BU_ATCC8492_00753
transcript:BU_ATCC8492_00754 BU_ATCC8492_00754
transcript:BU_ATCC8492_00755 BU_ATCC8492_00755
transcript:BU_ATCC8492_00756 BU_ATCC8492_00756
contig_1.tRNA58-ArgCCT contig_1.trna58
korA_1 BU_ATCC8492_00758
korB_1 BU_ATCC8492_00759
susC_4 BU_ATCC8492_00760
transcript:BU_ATCC8492_00761 BU_ATCC8492_00761
tycC BU_ATCC8492_00762
transcript:BU_ATCC8492_00763 BU_ATCC8492_00763
transcript:BU_ATCC8492_00764 BU_ATCC8492_00764
transcript:BU_ATCC8492_00765 BU_ATCC8492_00765
upp BU_ATCC8492_00766
pckA BU_ATCC8492_00767
frp BU_ATCC8492_00768
typA BU_ATCC8492_00769
rpsO BU_ATCC8492_00770
transcript:BU_ATCC8492_00771 BU_ATCC8492_00771
transcript:BU_ATCC8492_00772 BU_ATCC8492_00772
transcript:BU_ATCC8492_00773 BU_ATCC8492_00773
hppE BU_ATCC8492_00774
fadD3_1 BU_ATCC8492_00775
luxS BU_ATCC8492_00776
mtnN BU_ATCC8492_00777
transcript:BU_ATCC8492_00778 BU_ATCC8492_00778
rbfA BU_ATCC8492_00779
lolE_1 BU_ATCC8492_00780
trmR BU_ATCC8492_00781
pyk BU_ATCC8492_00782
aroQ BU_ATCC8492_00783
xerD BU_ATCC8492_00784
transcript:BU_ATCC8492_00785 BU_ATCC8492_00785
transcript:BU_ATCC8492_00786 BU_ATCC8492_00786
comM BU_ATCC8492_00787
transcript:BU_ATCC8492_00788 BU_ATCC8492_00788
transcript:BU_ATCC8492_00789 BU_ATCC8492_00789
transcript:BU_ATCC8492_00790 BU_ATCC8492_00790
transcript:BU_ATCC8492_00791 BU_ATCC8492_00791
transcript:BU_ATCC8492_00792 BU_ATCC8492_00792
transcript:BU_ATCC8492_00793 BU_ATCC8492_00793
rbsK_1 BU_ATCC8492_00794
transcript:BU_ATCC8492_00795 BU_ATCC8492_00795
transcript:BU_ATCC8492_00796 BU_ATCC8492_00796
transcript:BU_ATCC8492_00797 BU_ATCC8492_00797
rcsC_9 BU_ATCC8492_00798
FCS1 BU_ATCC8492_00799
transcript:BU_ATCC8492_00800 BU_ATCC8492_00800
transcript:BU_ATCC8492_00801 BU_ATCC8492_00801
transcript:BU_ATCC8492_00802 BU_ATCC8492_00802
btsR_2 BU_ATCC8492_00803
transcript:BU_ATCC8492_00804 BU_ATCC8492_00804
transcript:BU_ATCC8492_00805 BU_ATCC8492_00805
transcript:BU_ATCC8492_00806 BU_ATCC8492_00806
transcript:BU_ATCC8492_00807 BU_ATCC8492_00807
transcript:BU_ATCC8492_00808 BU_ATCC8492_00808
metG BU_ATCC8492_00809
transcript:BU_ATCC8492_00810 BU_ATCC8492_00810
transcript:BU_ATCC8492_00811 BU_ATCC8492_00811
bcs1_1 BU_ATCC8492_00812
transcript:BU_ATCC8492_00813 BU_ATCC8492_00813
transcript:BU_ATCC8492_00814 BU_ATCC8492_00814
mshA_1 BU_ATCC8492_00815
transcript:BU_ATCC8492_00816 BU_ATCC8492_00816
SIRT5 BU_ATCC8492_00817
fklB BU_ATCC8492_00818
transcript:BU_ATCC8492_00819 BU_ATCC8492_00819
asnC_1 BU_ATCC8492_00820
transcript:BU_ATCC8492_00821 BU_ATCC8492_00821
contig_1.tRNA8-Ile2CAT contig_1.trna8
transcript:BU_ATCC8492_00823 BU_ATCC8492_00823
transcript:BU_ATCC8492_00824 BU_ATCC8492_00824
transcript:BU_ATCC8492_00825 BU_ATCC8492_00825
transcript:BU_ATCC8492_00826 BU_ATCC8492_00826
transcript:BU_ATCC8492_00827 BU_ATCC8492_00827
transcript:BU_ATCC8492_00828 BU_ATCC8492_00828
transcript:BU_ATCC8492_00829 BU_ATCC8492_00829
transcript:BU_ATCC8492_00830 BU_ATCC8492_00830
contig_1.tRNA9-MetCAT contig_1.trna9
transcript:BU_ATCC8492_00831 BU_ATCC8492_00831
transcript:BU_ATCC8492_00832 BU_ATCC8492_00832
transcript:BU_ATCC8492_00833 BU_ATCC8492_00833
madB BU_ATCC8492_00834
transcript:BU_ATCC8492_00835 BU_ATCC8492_00835
ddpX BU_ATCC8492_00836
transcript:BU_ATCC8492_00837 BU_ATCC8492_00837
transcript:BU_ATCC8492_00838 BU_ATCC8492_00838
cpdA_4 BU_ATCC8492_00839
transcript:BU_ATCC8492_00840 BU_ATCC8492_00840
transcript:BU_ATCC8492_00841 BU_ATCC8492_00841
transcript:BU_ATCC8492_00842 BU_ATCC8492_00842
yghO BU_ATCC8492_00843
gyrB_2 BU_ATCC8492_00844
coaD BU_ATCC8492_00845
transcript:BU_ATCC8492_00846 BU_ATCC8492_00846
transcript:BU_ATCC8492_00847 BU_ATCC8492_00847
transcript:BU_ATCC8492_00848 BU_ATCC8492_00848
transcript:BU_ATCC8492_00849 BU_ATCC8492_00849
transcript:BU_ATCC8492_00850 BU_ATCC8492_00850
frdA BU_ATCC8492_00851
frdB BU_ATCC8492_00852
transcript:BU_ATCC8492_00853 BU_ATCC8492_00853
fim1C_2 BU_ATCC8492_00854
transcript:BU_ATCC8492_00855 BU_ATCC8492_00855
transcript:BU_ATCC8492_00856 BU_ATCC8492_00856
transcript:BU_ATCC8492_00857 BU_ATCC8492_00857
transcript:BU_ATCC8492_00858 BU_ATCC8492_00858
transcript:BU_ATCC8492_00859 BU_ATCC8492_00859
transcript:BU_ATCC8492_00860 BU_ATCC8492_00860
dusB BU_ATCC8492_00861
transcript:BU_ATCC8492_00862 BU_ATCC8492_00862
transcript:BU_ATCC8492_00863 BU_ATCC8492_00863
auaH BU_ATCC8492_00864
fieF BU_ATCC8492_00865
rnr BU_ATCC8492_00866
transcript:BU_ATCC8492_00867 BU_ATCC8492_00867
cysK1_1 BU_ATCC8492_00868
transcript:BU_ATCC8492_00869 BU_ATCC8492_00869
rlmL BU_ATCC8492_00870
ptpA_1 BU_ATCC8492_00871
purD BU_ATCC8492_00872
transcript:BU_ATCC8492_00873 BU_ATCC8492_00873
yqaA BU_ATCC8492_00874
mnmC BU_ATCC8492_00875
znuA BU_ATCC8492_00876
btuD_1 BU_ATCC8492_00877
transcript:BU_ATCC8492_00878 BU_ATCC8492_00878
transcript:BU_ATCC8492_00879 BU_ATCC8492_00879
bfce_3 BU_ATCC8492_00880
transcript:BU_ATCC8492_00881 BU_ATCC8492_00881
transcript:BU_ATCC8492_00882 BU_ATCC8492_00882
transcript:BU_ATCC8492_00883 BU_ATCC8492_00883
rcsC_10 BU_ATCC8492_00884
transcript:BU_ATCC8492_00885 BU_ATCC8492_00885
transcript:BU_ATCC8492_00886 BU_ATCC8492_00886
ce_1 BU_ATCC8492_00887
transcript:BU_ATCC8492_00888 BU_ATCC8492_00888
transcript:BU_ATCC8492_00889 BU_ATCC8492_00889
transcript:BU_ATCC8492_00890 BU_ATCC8492_00890
transcript:BU_ATCC8492_00891 BU_ATCC8492_00891
transcript:BU_ATCC8492_00892 BU_ATCC8492_00892
transcript:BU_ATCC8492_00893 BU_ATCC8492_00893
transcript:BU_ATCC8492_00894 BU_ATCC8492_00894
transcript:BU_ATCC8492_00895 BU_ATCC8492_00895
transcript:BU_ATCC8492_00896 BU_ATCC8492_00896
uvrY BU_ATCC8492_00897
transcript:BU_ATCC8492_00898 BU_ATCC8492_00898
kduD BU_ATCC8492_00899
transcript:BU_ATCC8492_00900 BU_ATCC8492_00900
contig_1.tRNA57-GlnTTG contig_1.trna57
tyrS BU_ATCC8492_00902
dtd3_1 BU_ATCC8492_00903
transcript:BU_ATCC8492_00904 BU_ATCC8492_00904
rnpA BU_ATCC8492_00905
transcript:BU_ATCC8492_00906 BU_ATCC8492_00906
transcript:BU_ATCC8492_00907 BU_ATCC8492_00907
transcript:BU_ATCC8492_00908 BU_ATCC8492_00908
transcript:BU_ATCC8492_00909 BU_ATCC8492_00909
transcript:BU_ATCC8492_00910 BU_ATCC8492_00910
transcript:BU_ATCC8492_00911 BU_ATCC8492_00911
transcript:BU_ATCC8492_00912 BU_ATCC8492_00912
transcript:BU_ATCC8492_00913 BU_ATCC8492_00913
transcript:BU_ATCC8492_00914 BU_ATCC8492_00914
transcript:BU_ATCC8492_00915 BU_ATCC8492_00915
transcript:BU_ATCC8492_00916 BU_ATCC8492_00916
transcript:BU_ATCC8492_00917 BU_ATCC8492_00917
transcript:BU_ATCC8492_00918 BU_ATCC8492_00918
transcript:BU_ATCC8492_00919 BU_ATCC8492_00919
transcript:BU_ATCC8492_00920 BU_ATCC8492_00920
transcript:BU_ATCC8492_00921 BU_ATCC8492_00921
transcript:BU_ATCC8492_00922 BU_ATCC8492_00922
transcript:BU_ATCC8492_00923 BU_ATCC8492_00923
transcript:BU_ATCC8492_00924 BU_ATCC8492_00924
transcript:BU_ATCC8492_00925 BU_ATCC8492_00925
transcript:BU_ATCC8492_00926 BU_ATCC8492_00926
transcript:BU_ATCC8492_00927 BU_ATCC8492_00927
transcript:BU_ATCC8492_00928 BU_ATCC8492_00928
rcsC_11 BU_ATCC8492_00929
metK BU_ATCC8492_00930
contig_1_ncRNA24 contig_1_ncRNA24
sulD BU_ATCC8492_00931
queA_2 BU_ATCC8492_00932
truB BU_ATCC8492_00933
uppP BU_ATCC8492_00934
transcript:BU_ATCC8492_00935 BU_ATCC8492_00935
ftsX BU_ATCC8492_00936
COQ3_1 BU_ATCC8492_00937
transcript:BU_ATCC8492_00938 BU_ATCC8492_00938
miaB BU_ATCC8492_00939
transcript:BU_ATCC8492_00940 BU_ATCC8492_00940
scpC BU_ATCC8492_00941
oprM_1 BU_ATCC8492_00942
bepE_1 BU_ATCC8492_00943
mdtE_1 BU_ATCC8492_00944
transcript:BU_ATCC8492_00945 BU_ATCC8492_00945
dac BU_ATCC8492_00946
transcript:BU_ATCC8492_00947 BU_ATCC8492_00947
transcript:BU_ATCC8492_00948 BU_ATCC8492_00948
transcript:BU_ATCC8492_00949 BU_ATCC8492_00949
transcript:BU_ATCC8492_00950 BU_ATCC8492_00950
transcript:BU_ATCC8492_00951 BU_ATCC8492_00951
nanM_1 BU_ATCC8492_00952
transcript:BU_ATCC8492_00953 BU_ATCC8492_00953
transcript:BU_ATCC8492_00954 BU_ATCC8492_00954
transcript:BU_ATCC8492_00955 BU_ATCC8492_00955
transcript:BU_ATCC8492_00956 BU_ATCC8492_00956
transcript:BU_ATCC8492_00957 BU_ATCC8492_00957
transcript:BU_ATCC8492_00958 BU_ATCC8492_00958
transcript:BU_ATCC8492_00959 BU_ATCC8492_00959
nadB BU_ATCC8492_00960
transcript:BU_ATCC8492_00961 BU_ATCC8492_00961
transcript:BU_ATCC8492_00962 BU_ATCC8492_00962
rbr BU_ATCC8492_00963
dauA BU_ATCC8492_00964
nucA BU_ATCC8492_00965
transcript:BU_ATCC8492_00966 BU_ATCC8492_00966
transcript:BU_ATCC8492_00967 BU_ATCC8492_00967
transcript:BU_ATCC8492_00968 BU_ATCC8492_00968
transcript:BU_ATCC8492_00969 BU_ATCC8492_00969
transcript:BU_ATCC8492_00970 BU_ATCC8492_00970
transcript:BU_ATCC8492_00971 BU_ATCC8492_00971
transcript:BU_ATCC8492_00972 BU_ATCC8492_00972
nadA BU_ATCC8492_00973
transcript:BU_ATCC8492_00974 BU_ATCC8492_00974
transcript:BU_ATCC8492_00975 BU_ATCC8492_00975
leuS BU_ATCC8492_00976
eamA BU_ATCC8492_00977
transcript:BU_ATCC8492_00978 BU_ATCC8492_00978
transcript:BU_ATCC8492_00979 BU_ATCC8492_00979
transcript:BU_ATCC8492_00980 BU_ATCC8492_00980
susC_5 BU_ATCC8492_00981
transcript:BU_ATCC8492_00982 BU_ATCC8492_00982
araB_1 BU_ATCC8492_00983
fucP_1 BU_ATCC8492_00984
transcript:BU_ATCC8492_00985 BU_ATCC8492_00985
fucI BU_ATCC8492_00986
degA BU_ATCC8492_00987
transcript:BU_ATCC8492_00988 BU_ATCC8492_00988
araB_2 BU_ATCC8492_00989
transcript:BU_ATCC8492_00990 BU_ATCC8492_00990
transcript:BU_ATCC8492_00991 BU_ATCC8492_00991
transcript:BU_ATCC8492_00992 BU_ATCC8492_00992
transcript:BU_ATCC8492_00993 BU_ATCC8492_00993
transcript:BU_ATCC8492_00994 BU_ATCC8492_00994
transcript:BU_ATCC8492_00995 BU_ATCC8492_00995
transcript:BU_ATCC8492_00996 BU_ATCC8492_00996
transcript:BU_ATCC8492_00997 BU_ATCC8492_00997
transcript:BU_ATCC8492_00998 BU_ATCC8492_00998
transcript:BU_ATCC8492_00999 BU_ATCC8492_00999
transcript:BU_ATCC8492_01000 BU_ATCC8492_01000
transcript:BU_ATCC8492_01001 BU_ATCC8492_01001
transcript:BU_ATCC8492_01002 BU_ATCC8492_01002
transcript:BU_ATCC8492_01003 BU_ATCC8492_01003
transcript:BU_ATCC8492_01004 BU_ATCC8492_01004
transcript:BU_ATCC8492_01005 BU_ATCC8492_01005
transcript:BU_ATCC8492_01006 BU_ATCC8492_01006
transcript:BU_ATCC8492_01007 BU_ATCC8492_01007
transcript:BU_ATCC8492_01008 BU_ATCC8492_01008
sasA_3 BU_ATCC8492_01009
transcript:BU_ATCC8492_01010 BU_ATCC8492_01010
prrA BU_ATCC8492_01011
transcript:BU_ATCC8492_01012 BU_ATCC8492_01012
transcript:BU_ATCC8492_01013 BU_ATCC8492_01013
transcript:BU_ATCC8492_01014 BU_ATCC8492_01014
transcript:BU_ATCC8492_01015 BU_ATCC8492_01015
transcript:BU_ATCC8492_01016 BU_ATCC8492_01016
transcript:BU_ATCC8492_01017 BU_ATCC8492_01017
transcript:BU_ATCC8492_01018 BU_ATCC8492_01018
transcript:BU_ATCC8492_01019 BU_ATCC8492_01019
mutS BU_ATCC8492_01020
lacZ_9 BU_ATCC8492_01021
rcsC_12 BU_ATCC8492_01022
transcript:BU_ATCC8492_01023 BU_ATCC8492_01023
transcript:BU_ATCC8492_01024 BU_ATCC8492_01024
transcript:BU_ATCC8492_01025 BU_ATCC8492_01025
transcript:BU_ATCC8492_01026 BU_ATCC8492_01026
transcript:BU_ATCC8492_01027 BU_ATCC8492_01027
transcript:BU_ATCC8492_01028 BU_ATCC8492_01028
transcript:BU_ATCC8492_01029 BU_ATCC8492_01029
transcript:BU_ATCC8492_01030 BU_ATCC8492_01030
transcript:BU_ATCC8492_01031 BU_ATCC8492_01031
transcript:BU_ATCC8492_01032 BU_ATCC8492_01032
transcript:BU_ATCC8492_01033 BU_ATCC8492_01033
transcript:BU_ATCC8492_01034 BU_ATCC8492_01034
transcript:BU_ATCC8492_01035 BU_ATCC8492_01035
lgt BU_ATCC8492_01036
transcript:BU_ATCC8492_01037 BU_ATCC8492_01037
transcript:BU_ATCC8492_01038 BU_ATCC8492_01038
ychF BU_ATCC8492_01039
xylA_1 BU_ATCC8492_01040
transcript:BU_ATCC8492_01041 BU_ATCC8492_01041
transcript:BU_ATCC8492_01042 BU_ATCC8492_01042
transcript:BU_ATCC8492_01043 BU_ATCC8492_01043
polA BU_ATCC8492_01044
ispB BU_ATCC8492_01045
deoC BU_ATCC8492_01046
ypjD BU_ATCC8492_01047
dtd BU_ATCC8492_01048
uvrC BU_ATCC8492_01049
apt BU_ATCC8492_01050
mnmG BU_ATCC8492_01051
transcript:BU_ATCC8492_01052 BU_ATCC8492_01052
transcript:BU_ATCC8492_01053 BU_ATCC8492_01053
lacZ_10 BU_ATCC8492_01054
rcsC_13 BU_ATCC8492_01055
susC_6 BU_ATCC8492_01056
transcript:BU_ATCC8492_01057 BU_ATCC8492_01057
transcript:BU_ATCC8492_01058 BU_ATCC8492_01058
abn-ts BU_ATCC8492_01059
xynD BU_ATCC8492_01060
arbA BU_ATCC8492_01061
transcript:BU_ATCC8492_01062 BU_ATCC8492_01062
transcript:BU_ATCC8492_01063 BU_ATCC8492_01063
mro_2 BU_ATCC8492_01064
transcript:BU_ATCC8492_01065 BU_ATCC8492_01065
ybeY BU_ATCC8492_01066
transcript:BU_ATCC8492_01067 BU_ATCC8492_01067
transcript:BU_ATCC8492_01068 BU_ATCC8492_01068
transcript:BU_ATCC8492_01069 BU_ATCC8492_01069
transcript:BU_ATCC8492_01070 BU_ATCC8492_01070
rbsK_2 BU_ATCC8492_01071
rbsK_3 BU_ATCC8492_01072
transcript:BU_ATCC8492_01073 BU_ATCC8492_01073
susC_7 BU_ATCC8492_01074
transcript:BU_ATCC8492_01075 BU_ATCC8492_01075
transcript:BU_ATCC8492_01076 BU_ATCC8492_01076
ruvB BU_ATCC8492_01077
transcript:BU_ATCC8492_01078 BU_ATCC8492_01078
transcript:BU_ATCC8492_01079 BU_ATCC8492_01079
transcript:BU_ATCC8492_01080 BU_ATCC8492_01080
dpp7_1 BU_ATCC8492_01081
ahpF BU_ATCC8492_01082
ahpC BU_ATCC8492_01083
oxyR BU_ATCC8492_01084
dps BU_ATCC8492_01085
deaD BU_ATCC8492_01086
transcript:BU_ATCC8492_01087 BU_ATCC8492_01087
transcript:BU_ATCC8492_01088 BU_ATCC8492_01088
transcript:BU_ATCC8492_01089 BU_ATCC8492_01089
transcript:BU_ATCC8492_01090 BU_ATCC8492_01090
scrK BU_ATCC8492_01091
kdsD BU_ATCC8492_01092
transcript:BU_ATCC8492_01093 BU_ATCC8492_01093
queH BU_ATCC8492_01094
transcript:BU_ATCC8492_01095 BU_ATCC8492_01095
transcript:BU_ATCC8492_01096 BU_ATCC8492_01096
transcript:BU_ATCC8492_01097 BU_ATCC8492_01097
transcript:BU_ATCC8492_01098 BU_ATCC8492_01098
aqpZ2 BU_ATCC8492_01099
